,compound,create_date,negative,neutral,news_media,positive,tweets_ago
83,-0.6486,2017-11-30 14:00:14+00:00,0.249,0.751,BBC,0.0,-83
84,0.5106,2017-11-30 13:30:06+00:00,0.0,0.852,BBC,0.148,-84
85,0.3818,2017-11-30 13:00:09+00:00,0.0,0.776,BBC,0.224,-85
86,0.4019,2017-11-30 12:33:01+00:00,0.0,0.891,BBC,0.109,-86
87,0.6705,2017-11-30 12:00:09+00:00,0.0,0.784,BBC,0.216,-87
88,0.0,2017-11-30 11:33:03+00:00,0.0,1.0,BBC,0.0,-88
89,0.0,2017-11-30 11:03:32+00:00,0.0,1.0,BBC,0.0,-89
90,0.636,2017-11-30 09:02:06+00:00,0.0,0.792,BBC,0.208,-90
91,-0.2716,2017-11-30 08:40:06+00:00,0.11,0.89,BBC,0.0,-91
92,0.4404,2017-11-30 08:20:04+00:00,0.174,0.563,BBC,0.263,-92
93,0.0,2017-11-30 08:03:02+00:00,0.0,1.0,BBC,0.0,-93
94,0.0,2017-11-30 07:38:04+00:00,0.0,1.0,BBC,0.0,-94
95,0.0,2017-11-29 19:48:10+00:00,0.0,1.0,BBC,0.0,-95
96,-0.3182,2017-11-29 19:45:53+00:00,0.133,0.867,BBC,0.0,-96
97,0.0,2017-11-29 19:43:46+00:00,0.0,1.0,BBC,0.0,-97
98,0.0,2017-11-29 19:41:46+00:00,0.0,1.0,BBC,0.0,-98
99,0.5267,2017-11-29 19:38:12+00:00,0.0,0.726,BBC,0.274,-99
0,0.6166,2017-12-02 15:55:39+00:00,0.0,0.825,CBS,0.175,0
1,0.1867,2017-12-02 14:30:03+00:00,0.0,0.902,CBS,0.098,-1
2,0.6996,2017-12-02 13:00:07+00:00,0.0,0.821,CBS,0.179,-2
3,-0.3595,2017-12-02 12:00:03+00:00,0.128,0.872,CBS,0.0,-3
4,0.3612,2017-12-01 22:43:05+00:00,0.0,0.884,CBS,0.116,-4
5,0.4199,2017-12-01 22:15:28+00:00,0.0,0.866,CBS,0.134,-5
6,0.7707,2017-12-01 21:00:12+00:00,0.0,0.718,CBS,0.282,-6
7,0.0,2017-12-01 20:17:18+00:00,0.0,1.0,CBS,0.0,-7
8,0.8221,2017-12-01 19:32:18+00:00,0.0,0.691,CBS,0.309,-8
9,0.0,2017-12-01 18:40:34+00:00,0.0,1.0,CBS,0.0,-9
10,0.0,2017-12-01 18:16:37+00:00,0.0,1.0,CBS,0.0,-10
11,0.0,2017-12-01 18:10:11+00:00,0.0,1.0,CBS,0.0,-11
12,0.6893,2017-12-01 14:00:04+00:00,0.0,0.749,CBS,0.251,-12
13,0.1901,2017-12-01 12:00:03+00:00,0.0,0.907,CBS,0.093,-13
14,0.296,2017-12-01 01:31:30+00:00,0.0,0.872,CBS,0.128,-14
15,0.0,2017-11-30 21:10:19+00:00,0.0,1.0,CBS,0.0,-15
16,0.6115,2017-11-30 20:54:39+00:00,0.0,0.773,CBS,0.227,-16
17,0.0,2017-11-30 17:40:02+00:00,0.0,1.0,CBS,0.0,-17
18,0.6808,2017-11-30 17:30:05+00:00,0.0,0.752,CBS,0.248,-18
